sample	Species	Year	Origin	Location	Sex	Concentration
DEN_265	L.albirostris	2008	Denmark	Fiskeri og søfartsmuseet	Male	90
NOR_14502	L.albirostris	2002	Norway	Southern North Sea	Female	17
FRA_9912071	L.albirostris	1999	France	Sainte Marie du Mont	Female	35
GER_1160	L.albirostris	1998	Germany	Nieblum	Female	40
GER_16411	L.albirostris	1990	Germany	NA	Female	19 and 25*
GER_17551	L.albirostris	1992	Germany	Tammwerft	Female	50
GER_17889	L.albirostris	1993	Germany	Büsum	Female	80
GER_17928	L.albirostris	1993	Germany	St Peter Ording	Female	20
GER_18088	L.albirostris	1993	Germany	Hevestroom	Female	40
GER_18089	L.albirostris	1993	Germany	Eiderstedt	Female	45
GER_2425	L.albirostris	2003	Germany	Sylt	Female	105
GER_3614	L.albirostris	2006	Germany	Amrum	Female	18
GER_3616	L.albirostris	2007	Germany	Sylt	Male	18
GER_5600	L.albirostris	2010	Germany	Sylt	Female	135
ICE_B19	L.albirostris	1994	Iceland	SW Iceland	Female	35
ICE_H1	L.albirostris	1996	Iceland	SE Iceland	Male	85
ICE_SS36	L.albirostris	1992	Iceland	SW Iceland	Male	45
ICE_SV1_96_female	L.albirostris	1996	Iceland	S Iceland	Female	50
ICE_SV17	L.albirostris	1995	Iceland	SW Iceland	Male	80
ICE_SV19	L.albirostris	1991	Iceland	SW Iceland	Female	75
ICE_SV198	L.albirostris	1992	Iceland	SW Iceland	Male	45
ICE_SV199	L.albirostris	1992	Iceland	SW Iceland	Female	195
ICE_SV2	L.albirostris	1996	Iceland	SW Iceland	Female	30
ICE_SV200	L.albirostris	1992	Iceland	SW Iceland	Female	95
ICE_SV201	L.albirostris	1992	Iceland	SW Iceland	Male	35
ICE_SV4_female	L.albirostris	1993	Iceland	SW Iceland	Female	265
ICE_SV4_male	L.albirostris	1996	Iceland	SW Iceland	Male	70
ICE_SV51	L.albirostris	1996	Iceland	SW Iceland	Male	19*
ICE_SV5A	L.albirostris	1996	Iceland	SW Iceland	Female	30
ICE_SV7	L.albirostris	1993	Iceland	SW Iceland	Male	35
ICE_SV86	L.albirostris	1992	Iceland	SW Iceland	Male	65
ICE_SV90	L.albirostris	1992	Iceland	SW Iceland	Female	45
IRE_117	L.albirostris	2007	Ireland	Dundoran, Donegan	Female	25
IRE_278	L.albirostris	2011	Ireland	Sligo Bay	Female	120
IRE_75	L.albirostris	2006	Ireland	Brandon Bay	Male	40
IRE_90	L.albirostris	2007	Ireland	Dundoran, Donegan	Female	20
IRE_WBD1_96	L.albirostris	1996	Ireland	Elly Bay	Male	19
IRE_WBD2_93	L.albirostris	1993	Ireland	Camp Dingle, Co. Kerry	Female	20
NOR_034500	L.albirostris	2000	Norway	Barents Sea	Male	25
NOR_124599	L.albirostris	1999	Norway	Greenland Sea	Female	19
NOR_134500	L.albirostris	2000	Norway	Barents Sea	Male	20
NOR_34503	L.albirostris	2003	Norway	Norwegian Sea	Male	90
NOR_44500	L.albirostris	2000	Norway	Barents Sea	Female	20
NOR_54500	L.albirostris	2000	Norway	Barents Sea	Male	25
SCO_E_M03104	L.albirostris	2004	Scotland	Fraserburgh	Male	85
SCO_E_M11410	L.albirostris	2010	Scotland	Gullane Bay	Female	170
SCO_E_M12305	L.albirostris	2005	Scotland	Fife	Female	120
SCO_E_M13808	L.albirostris	2008	Scotland	Arbroath	Male	75
SCO_E_M1403	L.albirostris	2003	Scotland	Gosford Sands	Female	50
SCO_E_M15604	L.albirostris	2004	Scotland	Thurso	Male	265
SCO_E_M16709	L.albirostris	2009	Scotland	Fife	Female	40
SCO_E_M16801	L.albirostris	2001	Scotland	Banff	Male	18
SCO_E_M17001	L.albirostris	2001	Scotland	Scrabster	Male	40
SCO_E_M18305	L.albirostris	2005	Scotland	Thurso	Male	50
SCO_E_M19209	L.albirostris	2009	Scotland	Dornoch	Female	60
SCO_E_M28603	L.albirostris	2003	Scotland	Aberdeen	Male	115
SCO_E_M3503	L.albirostris	2003	Scotland	Longniddry	Female	30
SCO_E_M9802	L.albirostris	2002	Scotland	Edinburgh	Male	20
SCO_N_M19805	L.albirostris	2005	Scotland	Farr Bay	Male	140
SCO_ORK_M14101	L.albirostris	2001	Scotland	Brought of Borsay	Female	90
SCO_ORK_M22511	L.albirostris	2011	Scotland	Bay of Skail	Male	16
SCO_ORK_M286297	L.albirostris	1997	Scotland	Scara Brae	Male	25
SCO_SHET_M1010	L.albirostris	2010	Scotland	Boddam	Male	70
SCO_W_M25406	L.albirostris	2006	Scotland	Stornoway	Female	115
SCO_W_M4608	L.albirostris	2008	Scotland	Kinlochverbie	Female	25
