Sample DNA ID,Species,Location,Collection Site,Collection Date,Sample Type,Migration Category,Filtered RAD Alignments,Left Amplicon Alignments,Middle Amplicon Alignments,Right Amplicon Alignments,File ID,Notes
DNAA001_D08,Steelhead,North Umpqua River,Winchester Dam,2011/03/14,Live Adult,Mature,1294683,20,1286,7230,St_Ump_M_01_D08,
DNAA001_D09,Steelhead,North Umpqua River,Winchester Dam,2011/03/14,Live Adult,Mature,736472,0,52,7222,St_Ump_M_01_D09,
DNAA001_D10,Steelhead,North Umpqua River,Winchester Dam,2011/03/14,Live Adult,Mature,289903,20,182,7658,St_Ump_M_01_D10,
DNAA001_D11,Steelhead,North Umpqua River,Winchester Dam,2011/03/14,Live Adult,Mature,615251,50,392,8428,St_Ump_M_01_D11,
DNAA004_A04,Steelhead,New River,New River Weir,1994/05/23,Live Adult,Premature,332414,0,0,450,St_New_P_04_A04,
DNAA004_A05,Steelhead,New River,New River Weir,1994/05/07,Live Adult,Premature,290459,0,0,0,St_New_P_04_A05,
DNAA004_A06,Steelhead,Eel River,Van Arsdale Fisheries Station,2001/02/21,Live Adult,Mature,702571,138,1640,6260,St_Eel_M_04_A06,
DNAA004_A07,Steelhead,Eel River,Van Arsdale Fisheries Station,2001/02/22,Live Adult,Mature,459572,320,1660,7718,St_Eel_M_04_A07,
DNAA004_B04,Steelhead,New River,New River Weir,1994/05/16,Live Adult,Premature,301831,0,38,780,St_New_P_04_B04,
DNAA004_B05,Steelhead,New River,New River Weir,1994/06/21,Live Adult,Premature,398490,0,0,134,St_New_P_04_B05,
DNAA004_B06,Steelhead,Eel River,Van Arsdale Fisheries Station,2001/02/21,Live Adult,Mature,350331,260,4186,15500,St_Eel_M_04_B06,
DNAA004_B07,Steelhead,Eel River,Van Arsdale Fisheries Station,2001/02/22,Live Adult,Mature,327151,174,1458,8842,St_Eel_M_04_B07,
DNAA004_C03,Steelhead,New River,New River Weir,1994/04/12,Live Adult,Premature,95590,n/a,n/a,n/a,St_New_P_04_C03,
DNAA004_C04,Steelhead,New River,New River Weir,1994/05/04,Live Adult,Premature,129625,0,0,0,St_New_P_04_C04,
DNAA004_C05,Steelhead,New River,New River Weir,1994/06/28,Live Adult,Premature,325137,0,36,1102,St_New_P_04_C05,
DNAA004_C06,Steelhead,Eel River,Van Arsdale Fisheries Station,2001/03/13,Live Adult,Mature,396398,778,6942,22622,St_Eel_M_04_C06,
DNAA004_C07,Steelhead,Eel River,Van Arsdale Fisheries Station,2001/03/08,Live Adult,Mature,606298,52,1598,12544,St_Eel_M_04_C07,
DNAA004_D03,Steelhead,New River,New River Weir,1994/04/15,Live Adult,Premature,204181,0,0,0,St_New_P_04_D03,
DNAA004_D04,Steelhead,New River,New River Weir,1994/05/23,Live Adult,Premature,251735,0,138,4774,St_New_P_04_D04,
DNAA004_D05,Steelhead,Eel River,Van Arsdale Fisheries Station,2001/02/05,Live Adult,Mature,600238,886,7654,40870,St_Eel_M_04_D05,
DNAA004_D06,Steelhead,Eel River,Van Arsdale Fisheries Station,2001/03/13,Live Adult,Mature,267620,28,754,11400,St_Eel_M_04_D06,
DNAA004_D07,Steelhead,Eel River,Van Arsdale Fisheries Station,2001/03/01,Live Adult,Mature,428377,188,2372,12364,St_Eel_M_04_D07,
DNAA004_E03,Steelhead,New River,New River Weir,1994/04/07,Live Adult,Premature,61892,n/a,n/a,n/a,St_New_P_04_E03,
DNAA004_E04,Steelhead,New River,New River Weir,1994/05/26,Live Adult,Premature,294241,0,38,2574,St_New_P_04_E04,
DNAA004_E05,Steelhead,Eel River,Van Arsdale Fisheries Station,2001/02/24,Live Adult,Mature,364421,786,3156,10560,St_Eel_M_04_E05,
DNAA004_E06,Steelhead,Eel River,Van Arsdale Fisheries Station,2001/03/13,Live Adult,Mature,174467,430,4188,17938,St_Eel_M_04_E06,
DNAA004_E07,Steelhead,Eel River,Van Arsdale Fisheries Station,2001/02/09,Live Adult,Mature,821737,1354,9500,23424,St_Eel_M_04_E07,
DNAA004_F03,Steelhead,New River,New River Weir,1994/04/16,Live Adult,Premature,108797,0,0,650,St_New_P_04_F03,
DNAA004_F04,Steelhead,New River,New River Weir,1994/05/23,Live Adult,Premature,466983,0,0,544,St_New_P_04_F04,
DNAA004_F05,Steelhead,Eel River,Van Arsdale Fisheries Station,2001/02/24,Live Adult,Mature,499892,520,4412,46162,St_Eel_M_04_F05,
DNAA004_F06,Steelhead,Eel River,Van Arsdale Fisheries Station,2001/02/22,Live Adult,Mature,612097,998,2216,10600,St_Eel_M_04_F06,
DNAA004_G03,Steelhead,New River,New River Weir,1994/04/06,Live Adult,Premature,579222,0,0,0,St_New_P_04_G03,
DNAA004_G04,Steelhead,New River,New River Weir,1994/05/28,Live Adult,Premature,30998,n/a,n/a,n/a,St_New_P_04_G04,
DNAA004_G05,Steelhead,Eel River,Van Arsdale Fisheries Station,2001/02/21,Live Adult,Mature,845993,2026,12168,23584,St_Eel_M_04_G05,
DNAA004_G06,Steelhead,Eel River,Van Arsdale Fisheries Station,2001/02/22,Live Adult,Mature,523904,240,2468,7978,St_Eel_M_04_G06,
DNAA004_H03,Steelhead,New River,New River Weir,1994/05/24,Live Adult,Premature,73344,n/a,n/a,n/a,St_New_P_04_H03,
DNAA004_H04,Steelhead,New River,New River Weir,1994/05/26,Live Adult,Premature,530552,0,14,218,St_New_P_04_H04,
DNAA004_H05,Steelhead,Eel River,Van Arsdale Fisheries Station,2001/02/21,Live Adult,Mature,557024,112,1696,5828,St_Eel_M_04_H05,
DNAA004_H06,Steelhead,Eel River,Van Arsdale Fisheries Station,2001/02/22,Live Adult,Mature,48716,616,1674,6348,St_Eel_M_04_H06,
DNAA005_A01,Steelhead,Scott Creek,Scott Creek Weir,2004/02/17,Live Adult,Mature,797142,24,916,12152,St_Sco_M_05_A01,
DNAA005_A02,Steelhead,Scott Creek,Scott Creek Weir,2004/02/18,Live Adult,Mature,3848741,2642,7092,12704,St_Sco_M_05_A02,
DNAA005_B01,Steelhead,Scott Creek,Scott Creek Weir,2004/02/17,Live Adult,Mature,249237,0,0,654,St_Sco_M_05_B01,
DNAA005_B02,Steelhead,Scott Creek,Scott Creek Weir,2004/02/18,Live Adult,Mature,853562,20,436,6554,St_Sco_M_05_B02,
DNAA005_C01,Steelhead,Scott Creek,Scott Creek Weir,2004/02/18,Live Adult,Mature,1046487,0,0,0,St_Sco_M_05_C01,
DNAA005_C02,Steelhead,Scott Creek,Scott Creek Weir,2004/02/18,Live Adult,Mature,3084536,2788,4026,9276,St_Sco_M_05_C02,
DNAA005_D01,Steelhead,Scott Creek,Scott Creek Weir,2004/02/18,Live Adult,Mature,941706,38,2502,22704,St_Sco_M_05_D01,
DNAA005_D02,Steelhead,Scott Creek,Scott Creek Weir,2004/02/18,Live Adult,Mature,889376,42,864,12358,St_Sco_M_05_D02,
DNAA005_E01,Steelhead,Scott Creek,Scott Creek Weir,2004/02/18,Live Adult,Mature,2645777,1268,5102,30372,St_Sco_M_05_E01,
DNAA005_E02,Steelhead,Scott Creek,Scott Creek Weir,2004/02/18,Live Adult,Mature,2897864,288,1466,8496,St_Sco_M_05_E02,
DNAA005_F01,Steelhead,Scott Creek,Scott Creek Weir,2004/02/18,Live Adult,Mature,1782343,52,260,14180,St_Sco_M_05_F01,
DNAA005_F02,Steelhead,Scott Creek,Scott Creek Weir,2004/02/18,Live Adult,Mature,1351230,0,36,1792,St_Sco_M_05_F02,
DNAA005_G01,Steelhead,Scott Creek,Scott Creek Weir,2004/02/18,Live Adult,Mature,1356056,136,230,8592,St_Sco_M_05_G01,
DNAA005_G02,Steelhead,Scott Creek,Scott Creek Weir,2004/02/18,Live Adult,Mature,4339460,354,1876,5466,St_Sco_M_05_G02,
DNAA005_H01,Steelhead,Scott Creek,Scott Creek Weir,2004/02/18,Live Adult,Mature,2232316,822,2490,13430,St_Sco_M_05_H01,
DNAA005_H02,Steelhead,Scott Creek,Scott Creek Weir,2004/02/18,Live Adult,Mature,1407277,96,2060,10272,St_Sco_M_05_H02,
DNAA027_A01,Steelhead,Eel River,Middle Fork,2004/06/24,Live Adult,Premature,778478,1358,2452,9930,St_Eel_P_27_A01,
DNAA027_A02,Steelhead,Eel River,Middle Fork,2004/08/01,Live Adult,Premature,895733,1572,3668,20826,St_Eel_P_27_A02,
DNAA027_A03,Steelhead,Eel River,Van Arsdale Fisheries Station,2004/01/16,Live Adult,Mature,n/a,2332,3616,27558,St_Eel_M_27_A03,
DNAA027_A05,Steelhead,Eel River,Middle Fork,2001/08/01,Live Adult,Premature,814390,3488,2550,10030,St_Eel_P_27_A05,
DNAA027_B01,Steelhead,Eel River,Middle Fork,2004/05/01,Live Adult,Premature,579090,14924,10026,31756,St_Eel_P_27_B01,
DNAA027_B02,Steelhead,Eel River,Middle Fork,2004/08/01,Live Adult,Premature,492379,5968,1644,6178,St_Eel_P_27_B02,
DNAA027_B03,Steelhead,Eel River,Van Arsdale Fisheries Station,2004/01/18,Live Adult,Mature,n/a,20,416,4314,St_Eel_M_27_B03,
DNAA027_B05,Steelhead,Eel River,Middle Fork,2001/08/01,Live Adult,Premature,591448,4156,2150,6538,St_Eel_P_27_B05,
DNAA027_C01,Steelhead,Eel River,Middle Fork,2004/06/24,Live Adult,Premature,851210,918,2220,10194,St_Eel_P_27_C01,
DNAA027_C02,Steelhead,Eel River,Middle Fork,2004/08/01,Live Adult,Premature,429742,3448,3966,11756,St_Eel_P_27_C02,
DNAA027_C03,Steelhead,Eel River,Van Arsdale Fisheries Station,2004/01/19,Live Adult,Mature,n/a,386,912,12522,St_Eel_M_27_C03,
DNAA027_C05,Steelhead,Eel River,Middle Fork,2001/08/01,Live Adult,Premature,844047,18092,4794,19196,St_Eel_P_27_C05,
DNAA027_D01,Steelhead,Eel River,Middle Fork,2004/08/01,Live Adult,Premature,816776,2088,8226,28664,St_Eel_P_27_D01,"Resident trout, removed from amplicon analysis, see Methods"
DNAA027_D02,Steelhead,Eel River,Middle Fork,2004/08/01,Live Adult,Premature,553483,340,1536,7738,St_Eel_P_27_D02,
DNAA027_D03,Steelhead,Eel River,Van Arsdale Fisheries Station,2004/01/20,Live Adult,Mature,n/a,128,1678,7112,St_Eel_M_27_D03,
DNAA027_D05,Steelhead,Eel River,Middle Fork,2001/08/01,Live Adult,Premature,1045428,11244,3504,12488,St_Eel_P_27_D05,
DNAA027_E01,Steelhead,Eel River,Middle Fork,2004/08/01,Live Adult,Premature,947735,7172,2160,21606,St_Eel_P_27_E01,
DNAA027_E02,Steelhead,Eel River,Middle Fork,2004/08/01,Live Adult,Premature,677674,1158,2538,20132,St_Eel_P_27_E02,
DNAA027_E03,Steelhead,Eel River,Van Arsdale Fisheries Station,2004/01/25,Live Adult,Mature,n/a,750,1568,32100,St_Eel_M_27_E03,
DNAA027_E05,Steelhead,Eel River,Middle Fork,2001/08/01,Live Adult,Premature,1180161,7510,7534,28876,St_Eel_P_27_E05,
DNAA027_F01,Steelhead,Eel River,Middle Fork,2004/08/01,Live Adult,Premature,610413,5928,5872,34518,St_Eel_P_27_F01,
DNAA027_F02,Steelhead,Eel River,Middle Fork,2004/08/01,Live Adult,Premature,452367,1402,2392,8744,St_Eel_P_27_F02,
DNAA027_F03,Steelhead,Eel River,Van Arsdale Fisheries Station,2004/01/25,Live Adult,Mature,n/a,364,1778,10418,St_Eel_M_27_F03,
DNAA027_F05,Steelhead,Eel River,Middle Fork,2001/08/01,Live Adult,Premature,173021,1594,5386,12228,St_Eel_P_27_F05,
DNAA027_G01,Steelhead,Eel River,Middle Fork,2004/08/01,Live Adult,Premature,835135,6324,3980,9642,St_Eel_P_27_G01,
DNAA027_G02,Steelhead,Eel River,Middle Fork,2004/08/01,Live Adult,Premature,365488,826,828,15172,St_Eel_P_27_G02,
DNAA027_G05,Steelhead,Eel River,Middle Fork,2001/08/01,Live Adult,Premature,1048613,9146,6898,25546,St_Eel_P_27_G05,
DNAA027_H01,Steelhead,Eel River,Middle Fork,2004/08/01,Live Adult,Premature,625003,588,1998,9988,St_Eel_P_27_H01,
DNAA027_H02,Steelhead,Eel River,Middle Fork,2004/08/01,Live Adult,Premature,803171,2522,1610,14832,St_Eel_P_27_H02,
DNAA027_H05,Steelhead,Eel River,Middle Fork,2001/08/01,Live Adult,Premature,814272,4986,3346,8420,St_Eel_P_27_H05,
DNAA028_A01,Steelhead,Siletz River,Siletz Falls Trap,2013/12/27,Live Adult,Mature,274074,106,564,7126,St_Sil_M_28_A01,Likely heterozygous at causative polymorphism
DNAA028_A02,Steelhead,Siletz River,Ojalla Bridge,2013/12/27,Live Adult,Mature,280757,394,738,14856,St_Sil_M_28_A02,Likely heterozygous at causative polymorphism
DNAA028_A03,Steelhead,Siletz River,Ojalla Bridge,2013/12/27,Live Adult,Mature,158886,58,524,9766,St_Sil_M_28_A03,
DNAA028_A04,Steelhead,Siletz River,Siletz Falls Trap,2014/01/10,Live Adult,Mature,187638,234,2084,16748,St_Sil_M_28_A04,Likely heterozygous at causative polymorphism
DNAA028_A05,Steelhead,Siletz River,Siletz Falls Trap,2014/01/21,Live Adult,Mature,113194,34,240,7362,St_Sil_M_28_A05,
DNAA028_A06,Steelhead,Siletz River,Siletz Falls Trap,2014/01/21,Live Adult,Mature,341536,18,556,3694,St_Sil_M_28_A06,
DNAA028_A07,Steelhead,Siletz River,Siletz Falls Trap,2014/01/21,Live Adult,Mature,203484,0,550,3626,St_Sil_M_28_A07,
DNAA028_A08,Steelhead,Siletz River,Siletz Falls Trap,2014/01/21,Live Adult,Mature,108147,0,290,4124,St_Sil_M_28_A08,
DNAA028_A09,Steelhead,Siletz River,Siletz Falls Trap,2014/01/21,Live Adult,Mature,926381,94,668,6484,St_Sil_M_28_A09,
DNAA028_A10,Steelhead,Siletz River,Siletz Falls Trap,2014/01/21,Live Adult,Mature,42,0,424,7140,St_Sil_M_28_A10,Likely heterozygous at causative polymorphism
DNAA028_A11,Steelhead,Siletz River,Siletz Falls Trap,2013/07/26,Live Adult,Premature,1125561,212,1546,6650,St_Sil_P_28_A11,
DNAA028_A12,Steelhead,Siletz River,Siletz Falls Trap,2013/07/26,Live Adult,Premature,1068492,1464,5014,18680,St_Sil_P_28_A12,
DNAA028_B01,Steelhead,Siletz River,Siletz Falls Trap,2013/07/29,Live Adult,Premature,987533,728,1310,8910,St_Sil_P_28_B01,
DNAA028_B02,Steelhead,Siletz River,Siletz Falls Trap,2013/07/29,Live Adult,Premature,991289,118,400,5586,St_Sil_P_28_B02,
DNAA028_B03,Steelhead,Siletz River,Siletz Falls Trap,2013/08/02,Live Adult,Premature,767616,162,992,6386,St_Sil_P_28_B03,
DNAA028_B04,Steelhead,Siletz River,Siletz Falls Trap,2013/08/02,Live Adult,Premature,568821,548,510,9812,St_Sil_P_28_B04,
DNAA028_B05,Steelhead,Siletz River,Siletz Falls Trap,2013/08/05,Live Adult,Premature,425643,34,452,5946,St_Sil_P_28_B05,
DNAA028_B06,Steelhead,Siletz River,Siletz Falls Trap,2013/08/05,Live Adult,Premature,644985,296,2666,18224,St_Sil_P_28_B06,
DNAA028_B07,Steelhead,Siletz River,Siletz Falls Trap,2013/08/05,Live Adult,Premature,431915,154,1746,14312,St_Sil_P_28_B07,
DNAA028_B08,Steelhead,Siletz River,Siletz Falls Trap,2013/08/07,Live Adult,Premature,848274,824,2346,17498,St_Sil_P_28_B08,
